자치구명,구명,지점명,매장주소,위도,경도
서울특별시,동작구,상도,서울특별시 동작구 상도로 302 (상도동),126.9494065,37.5007361
서울특별시,동작구,중앙대,서울특별시 동작구 현충로 136  1층,126.9682741,37.5062127
서울특별시,마포구,마포,"서울특별시 마포구 백범로 123 (염리동, 신양빌딩)",126.9449237,37.5468195
서울특별시,마포구,망원,서울특별시 마포구 월드컵로10길 5 (서교동),126.9120314,37.5545668
서울특별시,마포구,상암,서울특별시 마포구 월드컵북로 336 (상암동),126.8946901,37.5760649
서울특별시,마포구,신촌,"서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)",126.9329072,37.5477946
서울특별시,서대문구,서대문,서울특별시 서대문구 통일로 149-1 (냉천동),126.9646453,37.5675317
서울특별시,서대문구,연희,서울특별시 서대문구 연희로 95 (연희동),126.9304366,37.5666166
서울특별시,서대문구,홍제,서울특별시 서대문구 세검정로 72 (홍제동),126.9482799,37.5939523
서울특별시,서초구,동서초,"서울특별시 서초구 서운로 220, 1층 2,3호 (서초동, 대지스포츠플라자)",127.0217872,37.5027161
서울특별시,서초구,방배역,"서울특별시 서초구 효령로 140 (방배동, 서진빌딩)",126.9993005,37.4814618
서울특별시,서초구,방배,서울특별시 서초구 방배로 254 (방배동),126.9888563,37.4957829
서울특별시,서초구,서방배,서울특별시 서초구 효령로 22 멤버스뷰,126.9875091,37.4774345
서울특별시,서초구,서초,"서울특별시 서초구 사임당로 115  지하1층 B101,B102호",127.0223638,37.4911711
서울특별시,서초구,양재,"서울특별시 서초구 바우뫼로 198, 1층 (양재동, 신우빌딩)",127.0412095,37.4796661
서울특별시,서초구,잠원,"서울특별시 서초구 나루터로 61, 101호 (잠원동, 태승빌딩)",127.016745,37.515415
서울특별시,성동구,성수2호,"서울특별시 성동구 성수일로 1, 1층 (성수동1가)",127.0478669,37.540859
서울특별시,성동구,옥수,"서울특별시 성동구 독서당로 212, 1층 (옥수동)",127.014413,37.543407
서울특별시,성동구,왕십리,서울특별시 성동구 난계로 81 (하왕십리동),127.0235443,37.5592081
서울특별시,성동구,행당,서울특별시 성동구 고산자로 308 (마장동),127.0370444,37.5670451
서울특별시,성북구,동소문,서울특별시 성북구 아리랑로 37-2 (동소문동7가),127.0153569,37.5960958
서울특별시,성북구,정릉,"서울특별시 성북구 보국문로 27, 1층 (정릉동)",127.0104613,37.6069787
서울특별시,송파구,가락,서울특별시 송파구 오금로36길 65,127.121714,37.4984666
서울특별시,송파구,롯데월드,서울특별시 송파구 올림픽로 240 롯데월드 지하1층,127.0981638,37.5110794
서울특별시,송파구,석촌,"서울특별시 송파구 백제고분로 285 (석촌동, 조광빌딩)",127.0983466,37.5027907
서울특별시,송파구,오금,서울특별시 송파구 중대로 314-1 (오금동),127.1337228,37.508257
서울특별시,송파구,위례,"서울시 송파구 위례광장로 290 제상가동 1층 138,139호 (장지동 위례중앙푸르지오 2단지)",127.1428384,37.4747277
서울특별시,송파구,잠실본,서울특별시 송파구 백제고분로 184 (잠실동),127.087057,37.5044035
서울특별시,송파구,잠실야구장,"서울특별시 송파구 올림픽로 25, 야구장내1호점 (잠실동, 서울종합운동장)",127.0736261,37.5148022
서울특별시,송파구,잠실,서울특별시 송파구 백제고분로 490 거보산업(주),127.1148332,37.5139214
서울특별시,송파구,장지,서울특별시 송파구 송이로32길 37 (문정동),127.1276788,37.4869712
서울특별시,양천구,목동,"서울특별시 양천구 목동중앙로 85, 금호종합상가 (목동)",126.8715085,37.5370105
서울특별시,양천구,신월,서울특별시 양천구 신월로 224 (신월동),126.8467273,37.5217334
서울특별시,양천구,양천,서울특별시 양천구 신월로 371 (신정동),126.8622836,37.5224109
서울특별시,영등포구,당산,"서울특별시 영등포구 영중로 145, 상가동 101호 (영등포동8가, 삼환아파트)",126.9049055,37.5295953
서울특별시,영등포구,대림,"서울특별시 영등포구 신길로 39, 1층 (대림동, 썬프라자)",126.9078281,37.495988
서울특별시,영등포구,대방,서울특별시 영등포구 여의대방로 209 (신길동),126.9222742,37.505609
서울특별시,영등포구,여의도,"서울특별시 영등포구 국제금융로 78 (여의도동, 홍우빌딩)",126.9313093,37.5208744
서울특별시,영등포구,영등포,"서울특별시 영등포구 문래북로 108 (문래동3가, 문래동태영데시앙)",126.8976235,37.5197002
서울특별시,용산구,용산,"서울특별시 용산구 원효로 210-1, 1층 (원효로2가)",126.9655087,37.5373714
서울특별시,용산구,이촌,서울특별시 용산구 서빙고로 40 (한강로3가),126.9687497,37.5239945
서울특별시,용산구,이태원,"서울특별시 용산구 보광로 112-3, 2층 (이태원동)",126.9946724,37.5328758
서울특별시,용산구,후암,"서울특별시 용산구 두텁바위로 13, 102호 (갈월동, 그린빌파크오피스텔)",126.9739411,37.5455164
서울특별시,은평구,가좌,"서울특별시 은평구 증산로 303, 상가 104~106호 (증산동, 태광아파트)",126.9094617,37.5842353
서울특별시,은평구,구파발,"서울특별시 은평구 진관4로 17, 820동 상가 101호 (진관동, 은평뉴타운상림마을)",126.9227324,37.6440574
서울특별시,은평구,연신내,서울특별시 은평구 통일로 797 (대조동),126.9249775,37.6153384
서울특별시,은평구,은평,서울특별시 은평구 연서로 35 (역촌동),126.915578,37.6022741
서울특별시,은평구,응암,"서울특별시 은평구 백련산로 160 (응암동, 녹번역센트레빌)",126.926119,37.598677
서울특별시,종로구,대학로,서울특별시 종로구 율곡로 223 (이화동),127.0036811,37.5762985
서울특별시,종로구,성균관대 인사캠(서울,서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관,126.9921594,37.5879535
서울특별시,종로구,세종로,서울특별시 종로구 필운대로 43 (누하동),126.9685239,37.5799019
서울특별시,종로구,평창,"서울특별시 종로구 평창문화로 75 글로리아타운 비동 102,103호",126.9690288,37.6068376
서울특별시,중구,명동,서울특별시 중구 마른내로 47 (초동),126.9932319,37.5647074
서울특별시,중구,신당,서울특별시 중구 다산로 156 (신당동),127.0124888,37.5575864
서울특별시,중랑구,면목,"서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)",127.095859,37.5870716
서울특별시,중랑구,중랑,"서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)",127.0941497,37.5987546
